amenity,lat,lon,name,category,amnt_id,neighbourhood
cafe,49.26081085205078,-123.125732421875,Starbucks,Food,0,Fairview
fast_food,49.26095199584961,-123.12570190429688,Salad Loop,Food,1,Fairview
pub,49.2831916809082,-123.10904693603516,The Cambie,Nightlife,2,Central Business District
pub,49.26594924926758,-123.24662780761719,Mahony and Sons,Nightlife,3,West Point Grey
fast_food,49.23474884033203,-123.15472412109375,McDonald's,Food,4,Shaughnessy
pub,49.268489837646484,-123.25808715820312,Koerner's Pub,Nightlife,5,West Point Grey
cinema,49.28199768066406,-123.12434387207031,Scotiabank Theatre Vancouver,Leisure,6,Central Business District
theatre,49.28050231933594,-123.10687255859375,Cineplex Odeon International Village Cinemas,Attraction,7,Central Business District
ferry_terminal,49.274200439453125,-123.10981750488281,Plaza of Nations Dock,Transportation,8,Central Business District
ferry_terminal,49.27248764038086,-123.10564422607422,Village Dock,Transportation,9,Mount Pleasant
cafe,49.26358413696289,-123.12883758544922,Waves,Food,10,Fairview
library,49.2195930480957,-123.06684875488281,VPL Fraserview Branch,Leisure,11,Victoria-Fraserview
car_rental,49.202205657958984,-123.13416290283203,Wicked Camper Van,Transportation,12,Marpole
bar,49.26866149902344,-123.10450744628906,Faculty Brewing,Nightlife,13,Mount Pleasant
bicycle_rental,49.275699615478516,-123.14244842529297,Vanier Park,Transportation,14,Kitsilano
bicycle_rental,49.27777099609375,-123.120849609375,Nelson & Richards,Transportation,15,Central Business District
bicycle_rental,49.26670837402344,-123.10482025146484,Ontario & 5th,Transportation,16,Mount Pleasant
cafe,49.26856994628906,-123.10452270507812,Argo Cafe,Food,17,Mount Pleasant
pub,49.267250061035156,-123.1033935546875,R & B Ale & Pizza House,Nightlife,18,Mount Pleasant
restaurant,49.26657485961914,-123.10374450683594,Peaceful Restaurant,Food,19,Mount Pleasant
university,49.27922439575195,-123.0995101928711,UBC Learning Exchange,Attraction,20,Strathcona
restaurant,49.28130340576172,-123.05755615234375,Tacofino Commissary,Food,21,Grandview-Woodland
restaurant,49.28129959106445,-123.05734252929688,Miyako Sushi,Food,22,Grandview-Woodland
restaurant,49.281288146972656,-123.05509185791016,What's Up? Hot Dog!,Food,23,Hastings-Sunrise
cafe,49.28215408325195,-123.09983825683594,Waves Coffee,Food,24,Central Business District
restaurant,49.28326416015625,-123.09789276123047,St Lawrence Restaurant,Food,25,Strathcona
restaurant,49.283287048339844,-123.09807586669922,Cuhillo,Food,26,Strathcona
cafe,49.283172607421875,-123.09351348876953,The Uncommon Cafe,Food,27,Strathcona
bank,49.279380798339844,-123.09947967529297,Vancity,Business,28,Strathcona
restaurant,49.279605865478516,-123.10028076171875,Juniper,Food,29,Central Business District
restaurant,49.27962112426758,-123.10111236572266,Gold Stone Bakery & Restaurant,Food,30,Central Business District
bar,49.282196044921875,-123.10240173339844,Back and Forth Bar,Nightlife,31,Central Business District
