amenity,lat,lon,name,category,amnt_id
cafe,49.26081,-123.12573,Starbucks,Food,0
fast_food,49.260952,-123.1257,Salad Loop,Food,1
pub,49.28319,-123.10905,The Cambie,Nightlife,2
pub,49.26595,-123.24663,Mahony and Sons,Nightlife,3
fast_food,49.23475,-123.154724,McDonald's,Food,4
pub,49.26849,-123.25809,Koerner's Pub,Nightlife,5
cinema,49.281998,-123.124344,Scotiabank Theatre Vancouver,Leisure,6
theatre,49.280502,-123.10687,Cineplex Odeon International Village Cinemas,Attraction,7
ferry_terminal,49.2742,-123.10982,Plaza of Nations Dock,Transportation,8
ferry_terminal,49.272488,-123.105644,Village Dock,Transportation,9
cafe,49.263584,-123.12884,Waves,Food,10
library,49.219593,-123.06685,VPL Fraserview Branch,Leisure,11
car_rental,49.202206,-123.13416,Wicked Camper Van,Transportation,12
bar,49.26866,-123.10451,Faculty Brewing,Nightlife,13
bicycle_rental,49.2757,-123.14245,Vanier Park,Transportation,14
bicycle_rental,49.27777,-123.12085,Nelson & Richards,Transportation,15
bicycle_rental,49.26671,-123.10482,Ontario & 5th,Transportation,16
cafe,49.26857,-123.10452,Argo Cafe,Food,17
pub,49.26725,-123.10339,R & B Ale & Pizza House,Nightlife,18
restaurant,49.266575,-123.103745,Peaceful Restaurant,Food,19
university,49.279224,-123.09951,UBC Learning Exchange,Attraction,20
restaurant,49.281303,-123.057556,Tacofino Commissary,Food,21
restaurant,49.2813,-123.05734,Miyako Sushi,Food,22
restaurant,49.28129,-123.05509,What's Up? Hot Dog!,Food,23
cafe,49.282154,-123.09984,Waves Coffee,Food,24
restaurant,49.283264,-123.09789,St Lawrence Restaurant,Food,25
restaurant,49.283287,-123.098076,Cuhillo,Food,26
cafe,49.283173,-123.09351,The Uncommon Cafe,Food,27
bank,49.27938,-123.09948,Vancity,Business,28
restaurant,49.279606,-123.10028,Juniper,Food,29
restaurant,49.27962,-123.10111,Gold Stone Bakery & Restaurant,Food,30
bar,49.282196,-123.1024,Back and Forth Bar,Nightlife,31
restaurant,49.283165,-123.10353,The Sardine Can,Food,32
ice_cream,49.283604,-123.10368,Soft Peaks Ice Cream,Food,33
bar,49.28417,-123.107346,131 Water Kitchen & Bar,Nightlife,34
restaurant,49.283424,-123.106415,Jules Bistro,Food,35
cafe,49.273106,-123.10073,Tim Hortons,Food,36
restaurant,49.287395,-123.12884,JoongWon,Food,37
fast_food,49.286625,-123.12826,Chongqing on Robson,Food,38
restaurant,49.287666,-123.12925,Stepho's,Food,39
fast_food,49.28674,-123.12842,A Taste of India,Food,40
restaurant,49.28757,-123.12911,Hon's Wun-Tun House,Food,41
restaurant,49.287373,-123.12823,miss KOREAN BBQ,Food,42
restaurant,49.287155,-123.12908,Forage,Food,43
restaurant,49.287045,-123.1289,Timber,Food,44
restaurant,49.287487,-123.12898,Miko Sushi,Food,45
restaurant,49.287563,-123.129715,Cora,Food,46
cafe,49.286602,-123.12821,Chatime,Food,47
fast_food,49.28656,-123.12818,Pok'e Time,Food,48
cafe,49.28642,-123.127235,Abode,Food,49
pub,49.286655,-123.127495,Shenanigans,Nightlife,50
restaurant,49.262352,-123.08948,Hail Mary's,Food,51
bicycle_rental,49.287193,-123.11292,Canada Place,Transportation,52
bicycle_rental,49.27966,-123.116295,Homer & Robson,Transportation,53
fast_food,49.265724,-123.243095,Red Burrito,Food,54
fast_food,49.26611,-123.24209,Pita Pit,Food,55
cafe,49.26601,-123.24233,Only U Cafe,Food,56
bicycle_rental,49.282394,-123.11858,Granville & Georgia,Transportation,57
bicycle_rental,49.27805,-123.1057,Expo & Carrall,Transportation,58
bicycle_rental,49.2798,-123.107925,Keefer & Abbott,Transportation,59
bicycle_rental,49.26561,-123.152534,7th & Arbutus,Transportation,60
bicycle_rental,49.26508,-123.11943,Heather & 7th,Transportation,61
bicycle_rental,49.26827,-123.147865,Cypress & 4th,Transportation,62
bicycle_rental,49.264214,-123.11782,8th & Ash,Transportation,63
bicycle_rental,49.268925,-123.118095,Stamp's Landing,Transportation,64
bicycle_rental,49.25877,-123.115295,14th & Cambie,Transportation,65
bicycle_rental,49.257538,-123.148476,Cypress & 16th,Transportation,66
bicycle_rental,49.263145,-123.12413,Laurel & Broadway,Transportation,67
pub,49.26871,-123.11864,The Wicklow Pub,Nightlife,68
bar,49.282146,-123.07621,Callister Tasting Room,Nightlife,69
bar,49.283363,-123.07575,Powell Brewery Tasting Room,Nightlife,70
bar,49.272495,-123.07773,Strange Fellows Tasting Room,Nightlife,71
bicycle_rental,49.28961,-123.13215,Cardero & Robson,Transportation,72
bicycle_rental,49.291195,-123.135216,Robson & Denman,Transportation,73
bicycle_rental,49.288143,-123.13202,Nicola & Robson,Transportation,74
restaurant,49.28212,-123.13366,Ramen Koika,Food,75
cafe,49.28148,-123.133606,Exile,Food,76
pub,49.209442,-123.116165,Dublin Crossing Irish Pub,Nightlife,77
bicycle_rental,49.286003,-123.1166,Hornby & Pender,Transportation,78
bicycle_rental,49.28268,-123.107,Abbott & Cordova,Transportation,79
cafe,49.287342,-123.114395,Starbucks,Food,80
fast_food,49.284267,-123.11976,Smokehouse Sandwich Co,Food,81
bank,49.24695,-123.18542,Vancity,Business,82
cafe,49.23878,-123.03163,Tim Hortons,Food,83
cafe,49.264133,-123.18167,Essentia Cafe,Food,84
restaurant,49.264343,-123.17572,Deacon's Corner,Food,85
cafe,49.268616,-123.158775,Starbucks,Food,86
restaurant,49.286327,-123.12562,Kirin Mandarin Restaurant,Food,87
restaurant,49.28599,-123.125084,Pink Elephant Thai,Food,88
cafe,49.285904,-123.124916,Tim Hortons,Food,89
fast_food,49.286057,-123.125175,A&W,Food,90
fast_food,49.286087,-123.12523,Subway,Food,91
restaurant,49.28525,-123.125404,Fantacity Karaoke,Food,92
cafe,49.287613,-123.11492,Starbucks,Food,93
bank,49.263737,-123.155556,BlueShore Financial,Business,94
bicycle_rental,49.28338,-123.13104,Bute & Comox,Transportation,95
bicycle_rental,49.273853,-123.114555,Marinaside & Cooperage,Transportation,96
bicycle_rental,49.260605,-123.11343,12th & Yukon,Transportation,97
bicycle_rental,49.269543,-123.13783,Anderson & 2nd,Transportation,98
bicycle_rental,49.277496,-123.114235,Beatty & Robson,Transportation,99
bicycle_rental,49.278214,-123.11863,Homer & Smithe,Transportation,100
bicycle_rental,49.276134,-123.11455,Expo & Smithe,Transportation,101
bicycle_rental,49.27615,-123.12389,Richards & Davie,Transportation,102
bicycle_rental,49.276505,-123.118904,Nelson & Mainland,Transportation,103
pub,49.284206,-123.100204,Alibi Room,Nightlife,104
fast_food,49.263336,-123.11442,A&W,Food,105
bank,49.26334,-123.11404,Coast Capital Savings CU,Business,106
cafe,49.263096,-123.1173,Elysian Coffee Roasters,Food,107
cafe,49.212994,-123.1401,Starbucks,Food,108
place_of_worship,49.262524,-123.19438,Point Grey Inter-Mennonite Fellowship (PGIMF),Attraction,109
cinema,49.312744,-123.08275,Cineplex Cinemas Esplanade,Leisure,110
restaurant,49.26439,-123.06951,Cabrito - Tapas Bebidas,Food,111
restaurant,49.284866,-123.12566,Spicy 6,Food,112
cafe,49.249226,-123.10078,Caffe Artigiano,Food,113
restaurant,49.25001,-123.10081,French Table Bistro,Food,114
restaurant,49.28021,-123.099976,Golden Garden Vietnamese Cuisine,Food,115
restaurant,49.249874,-123.100784,Old Bird,Food,116
restaurant,49.279755,-123.09994,Virtuous Pie,Food,117
cafe,49.27962,-123.09994,Starbucks,Food,118
fast_food,49.226223,-123.12877,Tim Hortons,Food,119
restaurant,49.245213,-123.10151,East is East - Main St,Food,120
cafe,49.232754,-123.11729,Blenz,Food,121
bicycle_rental,49.279633,-123.115005,Hamilton & Robson,Transportation,122
restaurant,49.289036,-123.13202,Liuyishou Hotpot Robson,Food,123
cafe,49.279224,-123.11683,Gong Cha,Food,124
bicycle_rental,49.284153,-123.09996,Alexander & Main,Transportation,125
restaurant,49.276627,-123.100105,Pizza Farina,Food,126
restaurant,49.274323,-123.126945,Kaide Sushi Bar,Food,127
bicycle_rental,49.26227,-123.12616,Oak & 10th,Transportation,128
bicycle_rental,49.25676,-123.120026,Heather & 16th,Transportation,129
bicycle_rental,49.26177,-123.13149,Alder & 11th,Transportation,130
restaurant,49.290936,-123.13605,Sushiholic,Food,131
place_of_worship,49.265854,-123.21146,Allan Kardec Vancouver Society,Attraction,132
restaurant,49.281273,-123.04724,Le Petit Saigon,Food,133
fast_food,49.27253,-123.056206,Panago Pizza,Food,134
