id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights
13188,Garden level studio in ideal loc.,Riley Park,49.24577,-123.10516,Entire home/apt,120.0,2
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,Downtown Eastside,49.27955,-123.10546,Entire home/apt,161.0,30
13358,Monthly (or Longer ) Designer One Bedroom Downtown,West End,49.28209,-123.12515,Entire home/apt,70.0,30
13490,Vancouver's best kept secret,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145.0,30
14267,EcoLoft Vancouver,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140.0,3
16254,Close to PNE/Hastings Park and East Village,Hastings-Sunrise,49.27734,-123.04152,Entire home/apt,194.0,3
17765,"Central location, nice little apartment",Mount Pleasant,49.26181,-123.10905,Entire home/apt,94.0,3
18270,private rm in clean central 2BR apt,Mount Pleasant,49.26564,-123.09524,Private room,55.0,30
18589,Commercial Drive B&B,Grandview-Woodland,49.27427,-123.07063,Private room,94.0,1
18773,"Comfort Suite on Kits Beach + Netflix, and Youtube",Kitsilano,49.27212,-123.16401,Entire home/apt,169.0,2
18795,*Best choice in downtown-5 Stars *,West End,49.28251,-123.12827,Private room,56.0,30
19527,Spacious Apartment near Granville Island and VGH,Fairview,49.26018,-123.13477,Entire home/apt,92.0,8
20085,Bright & Cheerful Uptown Garden Suite,Kensington-Cedar Cottage,49.25636,-123.08636,Entire home/apt,75.0,30
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,Renfrew-Collingwood,49.23365,-123.05439,Private room,51.0,2
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,65.0,30
24273,Walker's paradise in Kitsilano,Kitsilano,49.2626,-123.17308,Entire home/apt,300.0,2
26047,The Alpha Downtown Accommodation by COMFYSUITES,Downtown,49.27933,-123.12377,Entire home/apt,159.0,30
32746,Designer Urban Park View Townhouse,Downtown,49.2792,-123.105,Private room,113.0,30
33150,“Suite on Main”  near  Q.E Park,Riley Park,49.24686,-123.10469,Entire home/apt,100.0,4
35102,Downtown Yaletown Trendy 2 Bd/2Bth,Downtown,49.27762,-123.11878,Entire home/apt,105.0,30
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",Grandview-Woodland,49.27351,-123.06945,Entire home/apt,99.0,2
42645,The Charlie by COMFYSUITES,Downtown,49.28001,-123.12475,Entire home/apt,159.0,30
